neighbourhood_group,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
Queens,Private room,65.0,1.0,5.0,0.15,1.0,3.0
Brooklyn,Entire home/apt,120.0,30.0,6.0,0.29,1.0,2.0
Queens,Private room,96.0,1.0,73.0,2.3,1.0,2.0
Brooklyn,Private room,109.0,1.0,228.0,6.97,3.0,3.0
Brooklyn,Private room,99.0,1.0,220.0,6.71,3.0,0.0
Manhattan,Entire home/apt,300.0,1.0,59.0,1.83,1.0,4.0
Manhattan,Entire home/apt,133.0,4.0,23.0,0.72,1.0,3.0
Manhattan,Private room,179.0,1.0,4.0,0.13,1.0,5.0
Manhattan,Private room,100.0,2.0,17.0,0.52,1.0,3.0
Brooklyn,Private room,45.0,1.0,2.0,0.06,26.0,2.0
Manhattan,Entire home/apt,250.0,4.0,12.0,0.37,1.0,5.0
Manhattan,Entire home/apt,180.0,30.0,0.0,1.3732214298586618,96.0,0.0
Brooklyn,Private room,350.0,1.0,19.0,0.64,4.0,3.0
Manhattan,Entire home/apt,218.0,2.0,60.0,1.85,1.0,4.0
Brooklyn,Entire home/apt,176.0,2.0,80.0,2.52,2.0,2.0
Manhattan,Entire home/apt,160.0,3.0,90.0,3.17,1.0,3.0
Bronx,Entire home/apt,79.0,3.0,18.0,0.57,1.0,2.0
Manhattan,Private room,70.0,3.0,62.0,1.94,1.0,4.0
Brooklyn,Entire home/apt,150.0,30.0,3.0,0.09,1.0,5.0
Brooklyn,Private room,63.0,5.0,9.0,0.28,1.0,1.0
Queens,Private room,40.0,1.0,117.0,3.63,1.0,3.0
Manhattan,Private room,95.0,5.0,45.0,1.4,2.0,2.0
Manhattan,Private room,90.0,4.0,61.0,1.9,2.0,4.0
Brooklyn,Private room,111.0,1.0,74.0,2.28,1.0,4.0
Brooklyn,Entire home/apt,120.0,2.0,56.0,1.82,1.0,5.0
Brooklyn,Entire home/apt,95.0,4.0,20.0,1.81,1.0,0.0
Manhattan,Entire home/apt,100.0,7.0,17.0,0.54,1.0,5.0
Brooklyn,Entire home/apt,100.0,5.0,11.0,0.44,1.0,0.0
Brooklyn,Entire home/apt,116.0,1.0,213.0,6.55,1.0,2.0
Manhattan,Private room,333.0,1.0,40.0,1.27,2.0,5.0
Manhattan,Private room,100.0,3.0,20.0,0.66,1.0,3.0
Queens,Entire home/apt,320.0,30.0,0.0,1.3732214298586618,2.0,2.0
Manhattan,Entire home/apt,155.0,30.0,1.0,0.03,96.0,3.0
Brooklyn,Private room,65.0,20.0,3.0,0.39,1.0,2.0
Queens,Private room,149.0,30.0,0.0,1.3732214298586618,2.0,3.0
Manhattan,Private room,125.0,5.0,59.0,2.03,1.0,0.0
Brooklyn,Private room,70.0,3.0,12.0,0.38,1.0,5.0
Brooklyn,Private room,59.0,2.0,195.0,6.01,3.0,2.0
Brooklyn,Private room,89.0,1.0,2.0,0.1,3.0,2.0
Brooklyn,Private room,59.0,2.0,171.0,5.26,3.0,2.0
Manhattan,Private room,369.0,3.0,8.0,0.25,12.0,4.0
Queens,Private room,55.0,2.0,4.0,0.13,2.0,2.0
Queens,Private room,55.0,2.0,12.0,0.37,2.0,2.0
Manhattan,Entire home/apt,196.0,6.0,6.0,0.2,1.0,2.0
Brooklyn,Private room,69.0,2.0,96.0,2.93,1.0,3.0
Manhattan,Private room,65.0,3.0,49.0,1.5,1.0,2.0
Manhattan,Private room,100.0,2.0,16.0,0.5,1.0,2.0
Manhattan,Private room,92.0,1.0,140.0,4.29,2.0,0.0
Brooklyn,Entire home/apt,365.0,5.0,77.0,2.44,1.0,3.0
Manhattan,Entire home/apt,300.0,10.0,4.0,0.53,1.0,3.0
Brooklyn,Entire home/apt,175.0,2.0,6.0,0.2,1.0,5.0
Bronx,Private room,80.0,2.0,77.0,2.37,2.0,0.0
Brooklyn,Entire home/apt,90.0,7.0,1.0,0.05,2.0,4.0
Brooklyn,Entire home/apt,150.0,30.0,13.0,0.41,1.0,5.0
Manhattan,Private room,119.0,1.0,117.0,3.61,1.0,4.0
Brooklyn,Entire home/apt,450.0,5.0,15.0,0.49,1.0,4.0
Manhattan,Entire home/apt,190.0,30.0,4.0,0.13,96.0,2.0
Manhattan,Entire home/apt,205.0,30.0,1.0,0.05,87.0,2.0
Brooklyn,Private room,39.0,16.0,38.0,1.21,1.0,0.0
Manhattan,Entire home/apt,499.0,4.0,69.0,2.13,1.0,3.0
Manhattan,Entire home/apt,275.0,30.0,2.0,0.08,121.0,5.0
Brooklyn,Private room,80.0,2.0,29.0,0.9,2.0,1.0
Manhattan,Entire home/apt,1500.0,2.0,4.0,0.12,1.0,3.0
Brooklyn,Private room,105.0,2.0,146.0,4.52,1.0,0.0
Brooklyn,Private room,70.0,2.0,117.0,3.71,2.0,2.0
Brooklyn,Entire home/apt,146.0,3.0,98.0,3.11,1.0,2.0
Manhattan,Private room,99.0,2.0,90.0,2.79,3.0,0.0
Brooklyn,Private room,125.0,2.0,89.0,2.78,1.0,3.0
Brooklyn,Entire home/apt,182.0,4.0,83.0,2.82,1.0,2.0
Brooklyn,Private room,55.0,2.0,16.0,0.52,1.0,2.0
Brooklyn,Entire home/apt,255.0,3.0,16.0,0.52,1.0,2.0
Manhattan,Entire home/apt,160.0,45.0,17.0,0.54,12.0,3.0
Manhattan,Entire home/apt,160.0,45.0,16.0,0.52,12.0,0.0
Brooklyn,Entire home/apt,125.0,30.0,6.0,0.23,3.0,2.0
Brooklyn,Private room,80.0,1.0,1.0,1.0,1.0,5.0
Manhattan,Entire home/apt,125.0,1.0,59.0,1.82,1.0,3.0
Brooklyn,Entire home/apt,170.0,2.0,149.0,4.6,1.0,5.0
Queens,Entire home/apt,115.0,3.0,143.0,4.43,1.0,1.0
Manhattan,Entire home/apt,229.0,30.0,3.0,0.12,87.0,5.0
Manhattan,Entire home/apt,375.0,29.0,0.0,1.3732214298586618,1.0,3.0
Brooklyn,Entire home/apt,139.0,1.0,216.0,6.64,1.0,0.0
Brooklyn,Private room,300.0,3.0,8.0,0.26,2.0,5.0
Queens,Private room,139.0,1.0,3.0,0.12,4.0,5.0
Brooklyn,Entire home/apt,83.0,30.0,7.0,0.22,1.0,4.0
Brooklyn,Private room,50.0,7.0,0.0,1.3732214298586618,2.0,2.0
Manhattan,Entire home/apt,120.0,6.0,46.0,1.75,1.0,0.0
Brooklyn,Private room,79.0,2.0,167.0,5.14,3.0,3.0
Queens,Private room,60.0,4.0,6.0,0.28,1.0,3.0
Manhattan,Private room,175.0,1.0,6.0,0.19,1.0,2.0
Manhattan,Private room,75.0,5.0,1.0,0.05,1.0,4.0
Manhattan,Private room,80.0,1.0,111.0,3.51,1.0,2.0
Manhattan,Private room,110.0,7.0,1.0,0.03,1.0,4.0
Manhattan,Private room,67.0,10.0,14.0,0.49,1.0,2.0
Staten Island,Entire home/apt,70.0,5.0,83.0,2.56,1.0,4.0
Brooklyn,Entire home/apt,153.0,3.0,64.0,2.07,1.0,4.0
Brooklyn,Entire home/apt,350.0,2.0,22.0,0.69,1.0,3.0
Brooklyn,Private room,500.0,1.0,0.0,1.3732214298586618,1.0,5.0
Brooklyn,Entire home/apt,90.0,7.0,1.0,0.07,3.0,5.0
Manhattan,Entire home/apt,369.0,30.0,1.0,0.06,121.0,0.0
Brooklyn,Entire home/apt,160.0,2.0,127.0,3.9,1.0,0.0
Brooklyn,Private room,99.0,2.0,5.0,0.16,1.0,2.0
Queens,Private room,45.0,4.0,22.0,0.68,2.0,0.0
Brooklyn,Shared room,28.0,1.0,117.0,4.56,4.0,5.0
Manhattan,Entire home/apt,159.0,6.0,39.0,1.31,1.0,3.0
Brooklyn,Entire home/apt,250.0,5.0,40.0,1.32,1.0,1.0
Manhattan,Private room,85.0,2.0,37.0,1.2,1.0,3.0
Manhattan,Entire home/apt,160.0,1.0,73.0,2.38,4.0,0.0
Brooklyn,Private room,49.0,1.0,74.0,2.42,3.0,4.0
Manhattan,Private room,69.0,4.0,153.0,4.74,2.0,2.0
Brooklyn,Entire home/apt,200.0,2.0,2.0,2.0,1.0,5.0
Manhattan,Entire home/apt,400.0,1.0,17.0,0.54,2.0,3.0
Queens,Entire home/apt,105.0,3.0,4.0,0.12,1.0,2.0
Brooklyn,Entire home/apt,99.0,3.0,126.0,3.93,1.0,4.0
Queens,Private room,20.0,7.0,0.0,1.3732214298586618,1.0,4.0
Brooklyn,Entire home/apt,109.0,4.0,91.0,3.31,1.0,1.0
Manhattan,Entire home/apt,175.0,2.0,11.0,0.6,1.0,5.0
Brooklyn,Entire home/apt,209.0,2.0,23.0,0.72,2.0,4.0
Brooklyn,Entire home/apt,75.0,2.0,84.0,2.61,1.0,4.0
Brooklyn,Private room,35.0,2.0,106.0,3.26,4.0,5.0
Manhattan,Entire home/apt,117.0,30.0,1.0,0.75,91.0,5.0
Brooklyn,Entire home/apt,80.0,1.0,127.0,6.54,1.0,5.0
Manhattan,Entire home/apt,250.0,15.0,1.0,0.35,1.0,2.0
Manhattan,Private room,50.0,30.0,4.0,0.14,2.0,2.0
Brooklyn,Private room,70.0,2.0,19.0,0.6,1.0,2.0
Brooklyn,Entire home/apt,142.0,1.0,122.0,3.8,1.0,4.0
Staten Island,Entire home/apt,65.0,2.0,52.0,1.95,1.0,5.0
Queens,Entire home/apt,110.0,2.0,67.0,2.13,1.0,2.0
Manhattan,Private room,80.0,6.0,10.0,0.31,2.0,3.0
Brooklyn,Private room,35.0,2.0,44.0,1.41,4.0,2.0
Manhattan,Entire home/apt,150.0,3.0,36.0,1.13,1.0,2.0
Brooklyn,Entire home/apt,150.0,1.0,17.0,0.6,1.0,4.0
Brooklyn,Entire home/apt,100.0,2.0,87.0,2.78,1.0,5.0
Queens,Private room,40.0,1.0,43.0,1.37,2.0,2.0
Queens,Entire home/apt,99.0,2.0,171.0,5.3,2.0,4.0
Bronx,Entire home/apt,105.0,3.0,54.0,1.68,2.0,2.0
Brooklyn,Private room,33.0,2.0,119.0,3.69,1.0,5.0
Brooklyn,Private room,50.0,2.0,72.0,2.35,2.0,5.0
Brooklyn,Private room,72.0,1.0,154.0,4.79,1.0,4.0
Manhattan,Entire home/apt,300.0,7.0,58.0,1.79,1.0,0.0
Brooklyn,Private room,48.0,20.0,24.0,0.78,1.0,2.0
Brooklyn,Entire home/apt,180.0,2.0,5.0,0.16,1.0,2.0
Brooklyn,Entire home/apt,300.0,2.0,34.0,1.11,1.0,2.0
Manhattan,Entire home/apt,2000.0,2.0,3.0,0.38,6.0,3.0
Manhattan,Entire home/apt,1020.0,1.0,12.0,0.39,6.0,1.0
Brooklyn,Private room,53.0,1.0,59.0,1.9,1.0,3.0
Brooklyn,Entire home/apt,160.0,5.0,1.0,0.04,1.0,2.0
Manhattan,Private room,143.0,2.0,8.0,0.26,1.0,0.0
Manhattan,Private room,164.0,1.0,141.0,4.74,5.0,2.0
Manhattan,Private room,164.0,1.0,143.0,4.82,5.0,5.0
Brooklyn,Private room,48.0,2.0,74.0,2.38,2.0,1.0
Manhattan,Private room,70.0,1.0,209.0,6.45,1.0,4.0
Queens,Entire home/apt,159.0,5.0,25.0,0.97,2.0,5.0
Queens,Entire home/apt,100.0,1.0,131.0,4.12,1.0,3.0
Brooklyn,Private room,42.0,4.0,13.0,0.41,1.0,1.0
Brooklyn,Private room,57.0,4.0,17.0,0.66,2.0,4.0
Manhattan,Private room,99.0,2.0,81.0,2.51,3.0,3.0
Manhattan,Private room,65.0,5.0,3.0,0.1,1.0,3.0
Manhattan,Entire home/apt,125.0,30.0,6.0,0.19,31.0,3.0
Manhattan,Entire home/apt,265.0,2.0,16.0,0.52,1.0,0.0
Manhattan,Private room,60.0,4.0,41.0,1.31,1.0,2.0
Brooklyn,Private room,700.0,30.0,1.0,0.03,1.0,3.0
Manhattan,Private room,61.0,5.0,25.0,0.79,2.0,0.0
Queens,Private room,120.0,1.0,31.0,1.03,1.0,4.0
Brooklyn,Entire home/apt,63.0,4.0,54.0,1.71,1.0,5.0
Brooklyn,Private room,65.0,3.0,72.0,2.26,1.0,2.0
Queens,Entire home/apt,143.0,30.0,4.0,0.22,15.0,0.0
Manhattan,Entire home/apt,197.0,2.0,47.0,1.46,1.0,3.0
Brooklyn,Private room,89.0,1.0,86.0,2.7,1.0,0.0
Brooklyn,Entire home/apt,158.0,4.0,61.0,1.92,1.0,2.0
Manhattan,Private room,119.0,6.0,117.0,3.65,2.0,4.0
Manhattan,Private room,128.0,7.0,71.0,2.21,1.0,2.0
Brooklyn,Entire home/apt,169.0,3.0,44.0,1.4,1.0,3.0
Manhattan,Private room,115.0,3.0,61.0,1.94,1.0,0.0
Queens,Private room,70.0,1.0,19.0,1.5,1.0,0.0
Manhattan,Private room,115.0,1.0,2.0,0.08,1.0,2.0
Brooklyn,Private room,50.0,3.0,91.0,2.83,4.0,5.0
Manhattan,Entire home/apt,180.0,7.0,95.0,3.01,1.0,5.0
Brooklyn,Entire home/apt,130.0,2.0,107.0,3.47,1.0,3.0
Bronx,Private room,55.0,1.0,0.0,1.3732214298586618,2.0,3.0
Brooklyn,Entire home/apt,250.0,2.0,53.0,1.68,1.0,2.0
Manhattan,Entire home/apt,125.0,30.0,11.0,0.38,91.0,0.0
Brooklyn,Private room,49.0,3.0,7.0,0.32,1.0,4.0
Brooklyn,Private room,40.0,2.0,96.0,2.99,3.0,0.0
Queens,Private room,40.0,1.0,91.0,2.82,8.0,1.0
Manhattan,Entire home/apt,130.0,4.0,32.0,1.02,1.0,1.0
Brooklyn,Private room,900.0,15.0,3.0,0.09,1.0,5.0
Manhattan,Private room,85.0,3.0,48.0,1.51,3.0,0.0
Manhattan,Private room,119.0,3.0,8.0,0.25,1.0,3.0
Manhattan,Private room,60.0,1.0,23.0,0.73,2.0,1.0
Brooklyn,Private room,200.0,2.0,0.0,1.3732214298586618,1.0,2.0
Brooklyn,Private room,50.0,2.0,77.0,2.44,1.0,2.0
Manhattan,Entire home/apt,180.0,2.0,146.0,4.55,1.0,5.0
Queens,Private room,75.0,10.0,7.0,0.27,4.0,0.0
Queens,Entire home/apt,105.0,4.0,12.0,0.39,1.0,4.0
Queens,Entire home/apt,105.0,4.0,21.0,0.69,1.0,1.0
Manhattan,Entire home/apt,300.0,2.0,19.0,0.6,3.0,3.0
Brooklyn,Private room,60.0,5.0,72.0,2.35,1.0,3.0
Queens,Entire home/apt,100.0,4.0,78.0,2.74,1.0,3.0
Queens,Private room,120.0,1.0,77.0,2.39,6.0,3.0
Brooklyn,Private room,45.0,1.0,45.0,1.47,4.0,3.0
Manhattan,Entire home/apt,255.0,2.0,65.0,2.04,1.0,2.0
Brooklyn,Private room,40.0,1.0,41.0,1.34,4.0,5.0
Manhattan,Entire home/apt,240.0,30.0,1.0,0.48,12.0,0.0
Staten Island,Entire home/apt,100.0,2.0,2.0,0.06,1.0,0.0
Brooklyn,Entire home/apt,110.0,3.0,88.0,2.76,1.0,5.0
Brooklyn,Entire home/apt,185.0,3.0,104.0,3.28,1.0,3.0
Manhattan,Entire home/apt,147.0,1.0,42.0,1.32,1.0,2.0
Manhattan,Entire home/apt,200.0,2.0,22.0,0.81,1.0,0.0
Brooklyn,Entire home/apt,950.0,4.0,19.0,0.62,1.0,1.0
Brooklyn,Private room,200.0,5.0,11.0,0.36,1.0,0.0
Queens,Private room,45.0,2.0,36.0,1.13,1.0,0.0
Brooklyn,Private room,40.0,2.0,7.0,0.22,1.0,0.0
Brooklyn,Entire home/apt,95.0,3.0,73.0,2.39,1.0,3.0
Queens,Private room,59.0,3.0,8.0,0.83,1.0,1.0
Brooklyn,Entire home/apt,180.0,2.0,75.0,2.35,1.0,3.0
Brooklyn,Shared room,19.0,2.0,76.0,2.4,6.0,4.0
Manhattan,Entire home/apt,375.0,2.0,14.0,0.73,2.0,0.0
Brooklyn,Entire home/apt,169.0,4.0,78.0,2.54,1.0,2.0
Manhattan,Entire home/apt,400.0,4.0,12.0,0.38,1.0,5.0
Queens,Private room,65.0,1.0,47.0,1.48,6.0,4.0
Manhattan,Private room,80.0,2.0,3.0,0.28,3.0,0.0
Manhattan,Private room,85.0,3.0,97.0,3.07,2.0,5.0
Queens,Private room,120.0,5.0,1.0,0.05,2.0,3.0
Queens,Entire home/apt,100.0,4.0,4.0,0.13,1.0,2.0
Manhattan,Private room,75.0,2.0,18.0,0.88,3.0,3.0
Brooklyn,Private room,91.0,1.0,13.0,0.55,3.0,0.0
Brooklyn,Private room,65.0,3.0,10.0,0.93,1.0,5.0
Manhattan,Entire home/apt,500.0,1.0,5.0,0.16,1.0,2.0
Brooklyn,Private room,45.0,1.0,158.0,4.93,2.0,5.0
Brooklyn,Entire home/apt,155.0,2.0,122.0,3.96,1.0,0.0
Manhattan,Private room,42.0,7.0,3.0,0.1,1.0,3.0
Manhattan,Private room,198.0,2.0,23.0,0.75,13.0,1.0
Manhattan,Private room,45.0,30.0,6.0,0.25,6.0,5.0
Brooklyn,Entire home/apt,130.0,4.0,3.0,0.1,1.0,3.0
Brooklyn,Private room,44.0,14.0,38.0,1.24,2.0,0.0
Manhattan,Entire home/apt,250.0,30.0,3.0,0.19,7.0,5.0
Manhattan,Private room,50.0,30.0,5.0,0.16,6.0,2.0
Brooklyn,Entire home/apt,195.0,1.0,39.0,1.25,1.0,3.0
Manhattan,Private room,45.0,30.0,7.0,0.23,6.0,5.0
Manhattan,Private room,78.0,2.0,46.0,1.45,5.0,0.0
Manhattan,Private room,78.0,2.0,7.0,0.23,5.0,0.0
Brooklyn,Entire home/apt,150.0,3.0,0.0,1.3732214298586618,2.0,0.0
Manhattan,Entire home/apt,150.0,2.0,85.0,3.33,1.0,0.0
Brooklyn,Entire home/apt,120.0,3.0,9.0,0.31,3.0,5.0
Brooklyn,Private room,35.0,1.0,148.0,4.63,2.0,3.0
Manhattan,Shared room,99.0,1.0,8.0,0.26,1.0,3.0
Manhattan,Entire home/apt,150.0,2.0,81.0,2.57,1.0,5.0
Manhattan,Entire home/apt,198.0,2.0,31.0,1.19,13.0,3.0
Manhattan,Entire home/apt,265.0,2.0,10.0,0.45,1.0,5.0
Brooklyn,Private room,70.0,2.0,106.0,3.59,2.0,3.0
Manhattan,Private room,55.0,3.0,12.0,0.37,1.0,4.0
Manhattan,Entire home/apt,115.0,30.0,4.0,0.12,1.0,0.0
Manhattan,Entire home/apt,265.0,2.0,113.0,3.55,1.0,4.0
Manhattan,Entire home/apt,228.0,4.0,16.0,0.51,1.0,4.0
Manhattan,Entire home/apt,280.0,2.0,53.0,2.29,2.0,5.0
Queens,Private room,75.0,3.0,9.0,0.28,2.0,0.0
Manhattan,Entire home/apt,135.0,2.0,113.0,3.58,1.0,3.0
Manhattan,Private room,110.0,1.0,188.0,5.87,1.0,3.0
Brooklyn,Entire home/apt,149.0,1.0,120.0,3.75,1.0,2.0
Brooklyn,Shared room,22.0,1.0,20.0,1.28,2.0,2.0
Brooklyn,Private room,49.0,2.0,18.0,0.59,2.0,2.0
Manhattan,Private room,899.0,2.0,2.0,0.06,12.0,5.0
Brooklyn,Entire home/apt,70.0,2.0,62.0,1.94,1.0,3.0
Brooklyn,Entire home/apt,340.0,3.0,12.0,0.4,1.0,2.0
Brooklyn,Entire home/apt,75.0,2.0,14.0,0.7,1.0,3.0
Queens,Entire home/apt,53.0,6.0,0.0,1.3732214298586618,1.0,3.0
Brooklyn,Private room,49.0,20.0,85.0,2.74,1.0,3.0
Queens,Private room,95.0,2.0,62.0,1.96,1.0,4.0
Brooklyn,Private room,47.0,1.0,5.0,0.74,1.0,2.0
Manhattan,Entire home/apt,190.0,30.0,0.0,1.3732214298586618,10.0,4.0
Manhattan,Entire home/apt,700.0,10.0,15.0,1.27,1.0,5.0
Manhattan,Entire home/apt,198.0,2.0,27.0,0.88,13.0,3.0
Brooklyn,Entire home/apt,84.0,4.0,88.0,2.88,1.0,0.0
Queens,Entire home/apt,99.0,2.0,13.0,1.71,2.0,4.0
Brooklyn,Shared room,50.0,1.0,23.0,0.74,2.0,4.0
Manhattan,Entire home/apt,175.0,30.0,4.0,0.14,10.0,2.0
Brooklyn,Entire home/apt,170.0,2.0,2.0,0.06,1.0,5.0
Brooklyn,Entire home/apt,170.0,2.0,213.0,6.9,3.0,2.0
Manhattan,Private room,200.0,2.0,3.0,0.09,1.0,2.0
Manhattan,Entire home/apt,100.0,5.0,39.0,1.28,1.0,3.0
Manhattan,Entire home/apt,190.0,2.0,23.0,0.73,1.0,3.0
Queens,Entire home/apt,86.0,2.0,78.0,2.55,1.0,2.0
Bronx,Private room,55.0,2.0,0.0,1.3732214298586618,1.0,2.0
Bronx,Private room,75.0,1.0,3.0,0.32,1.0,3.0
Brooklyn,Private room,200.0,2.0,3.0,0.09,4.0,3.0
Manhattan,Entire home/apt,160.0,1.0,41.0,1.56,1.0,1.0
Manhattan,Entire home/apt,89.0,14.0,14.0,0.57,1.0,4.0
Brooklyn,Entire home/apt,100.0,4.0,8.0,0.29,3.0,1.0
Brooklyn,Private room,50.0,3.0,7.0,0.31,1.0,3.0
Manhattan,Entire home/apt,599.0,2.0,3.0,0.33,1.0,2.0
Queens,Private room,44.0,4.0,8.0,0.27,1.0,0.0
Manhattan,Private room,80.0,8.0,3.0,0.1,1.0,2.0
Brooklyn,Entire home/apt,98.0,2.0,27.0,0.96,1.0,4.0
Manhattan,Entire home/apt,131.0,2.0,15.0,0.49,1.0,2.0
Brooklyn,Entire home/apt,200.0,31.0,2.0,0.17,11.0,1.0
Staten Island,Private room,34.0,4.0,51.0,1.69,8.0,0.0
Queens,Entire home/apt,100.0,2.0,48.0,1.57,1.0,0.0
Brooklyn,Private room,85.0,3.0,30.0,1.15,1.0,5.0
Queens,Private room,37.0,30.0,10.0,0.33,2.0,4.0
Brooklyn,Private room,34.0,2.0,94.0,3.14,2.0,3.0
Manhattan,Entire home/apt,175.0,30.0,1.0,0.04,91.0,5.0
Queens,Private room,48.0,1.0,54.0,1.72,2.0,5.0
Brooklyn,Private room,73.0,1.0,10.0,0.36,3.0,5.0
Brooklyn,Private room,69.0,1.0,32.0,1.14,3.0,5.0
Manhattan,Entire home/apt,170.0,1.0,36.0,1.14,1.0,2.0
Brooklyn,Private room,66.0,1.0,24.0,0.8,3.0,1.0
Manhattan,Private room,799.0,3.0,1.0,0.03,12.0,2.0
Manhattan,Private room,1599.0,3.0,2.0,0.08,12.0,3.0
Staten Island,Private room,34.0,4.0,39.0,1.39,8.0,1.0
Brooklyn,Private room,225.0,365.0,0.0,1.3732214298586618,1.0,0.0
Manhattan,Private room,69.0,3.0,47.0,1.5,1.0,1.0
Brooklyn,Private room,125.0,1.0,0.0,1.3732214298586618,1.0,2.0
Manhattan,Entire home/apt,150.0,5.0,3.0,0.1,1.0,1.0
Staten Island,Private room,33.0,4.0,18.0,0.83,7.0,2.0
Staten Island,Private room,32.0,4.0,30.0,1.2,7.0,3.0
Staten Island,Private room,35.0,4.0,10.0,0.34,7.0,5.0
Manhattan,Private room,649.0,3.0,1.0,0.03,12.0,5.0
Staten Island,Private room,32.0,4.0,23.0,0.87,7.0,4.0
Queens,Private room,85.0,2.0,57.0,1.86,2.0,5.0
Manhattan,Private room,699.0,3.0,1.0,0.03,12.0,4.0
Manhattan,Private room,799.0,3.0,1.0,0.03,12.0,2.0
Brooklyn,Entire home/apt,145.0,3.0,43.0,1.36,1.0,2.0
Manhattan,Entire home/apt,200.0,4.0,31.0,1.31,1.0,5.0
Manhattan,Entire home/apt,181.0,1.0,158.0,5.08,1.0,5.0
Queens,Entire home/apt,125.0,1.0,16.0,0.52,1.0,2.0
Manhattan,Entire home/apt,175.0,1.0,8.0,0.29,1.0,2.0
Brooklyn,Private room,59.0,20.0,7.0,0.27,3.0,2.0
Brooklyn,Entire home/apt,180.0,4.0,63.0,2.02,1.0,0.0
Brooklyn,Private room,250.0,5.0,0.0,1.3732214298586618,4.0,2.0
Brooklyn,Shared room,40.0,2.0,4.0,0.13,2.0,2.0
Manhattan,Entire home/apt,500.0,2.0,4.0,0.13,1.0,5.0
Manhattan,Private room,65.0,2.0,55.0,5.54,1.0,2.0
Manhattan,Entire home/apt,68.0,150.0,4.0,0.25,19.0,3.0
Manhattan,Entire home/apt,150.0,7.0,4.0,0.3,1.0,0.0
Brooklyn,Entire home/apt,265.0,31.0,33.0,1.2,1.0,4.0
Staten Island,Private room,105.0,1.0,12.0,0.39,1.0,5.0
Manhattan,Entire home/apt,110.0,2.0,60.0,1.92,1.0,4.0
Staten Island,Private room,34.0,3.0,24.0,0.78,3.0,3.0
Brooklyn,Private room,65.0,3.0,22.0,0.7,1.0,2.0
Brooklyn,Private room,65.0,3.0,8.0,0.26,2.0,2.0
Brooklyn,Entire home/apt,300.0,7.0,2.0,0.09,1.0,4.0
Manhattan,Private room,100.0,3.0,38.0,1.21,1.0,3.0
Brooklyn,Private room,55.0,1.0,1.0,0.03,1.0,4.0
Brooklyn,Private room,70.0,2.0,16.0,0.87,1.0,4.0
Brooklyn,Private room,50.0,30.0,11.0,0.36,4.0,4.0
Brooklyn,Entire home/apt,158.0,30.0,7.0,0.26,3.0,5.0
Manhattan,Private room,44.0,2.0,45.0,1.43,1.0,5.0
Brooklyn,Entire home/apt,150.0,4.0,19.0,0.62,1.0,5.0
Brooklyn,Entire home/apt,209.0,2.0,7.0,0.23,1.0,5.0
Manhattan,Entire home/apt,200.0,5.0,1.0,0.06,1.0,5.0
Manhattan,Private room,80.0,2.0,10.0,0.32,1.0,1.0
Manhattan,Private room,100.0,29.0,4.0,0.18,2.0,4.0
Manhattan,Private room,110.0,2.0,137.0,4.37,1.0,2.0
Queens,Private room,30.0,1.0,106.0,3.36,8.0,0.0
Manhattan,Entire home/apt,295.0,5.0,36.0,1.4,1.0,5.0
Manhattan,Private room,699.0,3.0,2.0,0.06,12.0,5.0
Bronx,Private room,45.0,5.0,30.0,0.98,2.0,3.0
Brooklyn,Private room,29.0,2.0,97.0,3.07,5.0,3.0
Manhattan,Private room,80.0,1.0,11.0,0.6,1.0,5.0
Manhattan,Entire home/apt,265.0,3.0,111.0,3.53,1.0,2.0
Manhattan,Entire home/apt,220.0,5.0,46.0,1.81,1.0,2.0
Bronx,Private room,68.0,2.0,1.0,0.07,2.0,1.0
Manhattan,Entire home/apt,130.0,2.0,133.0,4.21,2.0,2.0
Manhattan,Entire home/apt,400.0,2.0,3.0,0.1,4.0,3.0
Brooklyn,Entire home/apt,200.0,4.0,71.0,2.3,1.0,4.0
Brooklyn,Entire home/apt,76.0,30.0,7.0,0.27,3.0,4.0
Brooklyn,Shared room,25.0,30.0,10.0,0.32,4.0,2.0
Manhattan,Private room,799.0,2.0,1.0,0.03,12.0,5.0
Manhattan,Entire home/apt,800.0,5.0,0.0,1.3732214298586618,1.0,5.0
Manhattan,Private room,176.0,3.0,123.0,3.9,3.0,4.0
Brooklyn,Private room,85.0,6.0,7.0,0.23,2.0,5.0
Brooklyn,Entire home/apt,129.0,2.0,73.0,2.34,1.0,0.0
Manhattan,Private room,113.0,3.0,131.0,4.21,3.0,3.0
Bronx,Entire home/apt,86.0,2.0,86.0,2.76,1.0,3.0
Queens,Entire home/apt,95.0,2.0,9.0,0.29,1.0,1.0
Manhattan,Private room,146.0,3.0,104.0,3.31,3.0,1.0
Brooklyn,Entire home/apt,150.0,4.0,73.0,2.33,1.0,5.0
Manhattan,Private room,98.0,2.0,76.0,2.42,1.0,5.0
Brooklyn,Entire home/apt,25.0,2.0,50.0,1.65,1.0,0.0
Brooklyn,Entire home/apt,130.0,2.0,51.0,1.76,1.0,0.0
Queens,Entire home/apt,94.0,1.0,18.0,0.6,3.0,5.0
Brooklyn,Private room,85.0,4.0,4.0,0.13,2.0,0.0
Brooklyn,Private room,110.0,1.0,77.0,2.51,2.0,5.0
