neighbourhood,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,ng_Brooklyn,ng_Manhattan,ng_Queens,ng_Staten Island,rt_Private room,rt_Shared room
Williamsburg,200,3,5,3.57,1,163,1,0,0,0,0,0
Bushwick,38,2,13,0.93,2,141,1,0,0,0,1,0
Prospect-Lefferts Gardens,55,1,47,0.79,1,249,1,0,0,0,1,0
SoHo,195,10,10,0.13,1,270,0,1,0,0,0,0
Midwood,40,1,4,0.29,1,84,1,0,0,0,1,0
Chelsea,250,3,164,3.21,1,71,0,1,0,0,0,0
Hell's Kitchen,100,30,2,0.09,31,345,0,1,0,0,0,0
Hell's Kitchen,79,1,1,0.03,1,0,0,1,0,0,1,0
Upper East Side,75,15,5,0.2,1,1,0,1,0,0,0,0
West Village,190,2,0,1.3732214298586618,1,0,0,1,0,0,0,0
Crown Heights,135,3,24,2.44,1,246,1,0,0,0,0,0
Harlem,80,3,0,1.3732214298586618,3,187,0,1,0,0,1,0
Upper East Side,165,30,10,0.22,34,346,0,1,0,0,0,0
Williamsburg,79,3,4,0.19,1,69,1,0,0,0,1,0
Harlem,100,3,2,0.06,1,0,0,1,0,0,0,0
Williamsburg,150,7,2,0.08,1,0,1,0,0,0,0,0
Two Bridges,159,3,0,1.3732214298586618,1,0,0,1,0,0,1,0
Upper West Side,60,30,1,1.0,32,341,0,1,0,0,1,0
Bensonhurst,120,3,45,1.65,1,295,1,0,0,0,0,0
Upper West Side,264,30,6,0.1,10,281,0,1,0,0,0,0
East Harlem,76,2,79,3.33,1,11,0,1,0,0,1,0
Gramercy,65,1,49,0.93,1,353,0,1,0,0,0,1
Harlem,275,4,5,2.78,2,284,0,1,0,0,0,0
Bedford-Stuyvesant,80,3,2,0.11,3,5,1,0,0,0,1,0
Bedford-Stuyvesant,80,2,106,3.14,1,47,1,0,0,0,1,0
Bushwick,50,30,14,0.23,6,88,1,0,0,0,1,0
Upper East Side,210,2,0,1.3732214298586618,1,106,0,1,0,0,0,0
Williamsburg,100,2,49,0.9,1,149,1,0,0,0,1,0
Washington Heights,90,1,33,0.48,1,189,0,1,0,0,1,0
Upper West Side,150,31,1,0.07,8,332,0,1,0,0,0,0
Richmond Hill,45,2,0,1.3732214298586618,5,363,0,0,1,0,1,0
Longwood,60,1,9,0.76,2,257,0,0,0,0,0,0
Williamsburg,205,2,7,0.18,1,4,1,0,0,0,0,0
Sunnyside,180,3,10,2.48,2,123,0,0,1,0,0,0
SoHo,169,1,1,0.18,1,180,0,1,0,0,0,0
Bushwick,62,2,324,4.3,1,267,1,0,0,0,1,0
East Village,399,4,43,2.55,1,161,0,1,0,0,0,0
Crown Heights,65,3,1,0.06,1,0,1,0,0,0,1,0
Bedford-Stuyvesant,33,14,1,0.04,1,0,1,0,0,0,1,0
Sunnyside,50,1,4,4.0,1,82,0,0,1,0,1,0
Sunset Park,172,1,34,3.07,5,133,1,0,0,0,0,0
Bushwick,100,1,1,0.12,1,85,1,0,0,0,0,0
East Flatbush,80,2,0,1.3732214298586618,2,27,1,0,0,0,1,0
Crown Heights,75,2,2,0.04,1,0,1,0,0,0,1,0
East Elmhurst,99,1,94,7.32,6,333,0,0,1,0,0,0
Williamsburg,157,4,54,0.66,2,12,1,0,0,0,0,0
Woodside,38,5,13,0.25,1,0,0,0,1,0,1,0
Bedford-Stuyvesant,85,3,8,0.77,2,63,1,0,0,0,1,0
Prospect-Lefferts Gardens,50,1,0,1.3732214298586618,3,305,1,0,0,0,1,0
Far Rockaway,35,1,1,0.05,1,0,0,0,1,0,1,0
Williamsburg,175,2,8,0.43,1,0,1,0,0,0,0,0
Bedford-Stuyvesant,39,1,0,1.3732214298586618,1,0,1,0,0,0,1,0
Ozone Park,44,1,42,8.03,4,32,0,0,1,0,1,0
Nolita,110,3,0,1.3732214298586618,1,0,0,1,0,0,1,0
Morningside Heights,110,7,1,0.05,1,0,0,1,0,0,0,0
Murray Hill,186,7,9,0.41,1,0,0,1,0,0,0,0
Upper West Side,155,4,6,0.14,1,0,0,1,0,0,0,0
Bedford-Stuyvesant,87,2,0,1.3732214298586618,1,0,1,0,0,0,0,0
Williamsburg,50,2,77,2.44,1,107,1,0,0,0,1,0
Highbridge,60,3,17,0.67,2,66,0,0,0,0,1,0
East Harlem,80,1,60,4.76,2,0,0,1,0,0,1,0
Williamsburg,350,3,17,0.55,1,129,1,0,0,0,0,0
Hell's Kitchen,160,5,5,0.13,1,0,0,1,0,0,1,0
West Village,230,2,9,0.25,1,0,0,1,0,0,0,0
SoHo,850,3,32,1.04,1,262,0,1,0,0,0,0
Borough Park,38,2,0,1.3732214298586618,3,171,1,0,0,0,1,0
Crown Heights,75,3,9,0.54,1,280,1,0,0,0,0,0
East Flatbush,89,2,0,1.3732214298586618,1,365,1,0,0,0,1,0
Bedford-Stuyvesant,65,2,21,1.95,7,362,1,0,0,0,1,0
Two Bridges,145,3,19,5.43,1,42,0,1,0,0,1,0
East Village,225,3,0,1.3732214298586618,1,231,0,1,0,0,0,0
Financial District,130,1,0,1.3732214298586618,2,0,0,1,0,0,1,0
Battery Park City,325,30,9,0.16,1,0,0,1,0,0,0,0
Greenwich Village,79,1,3,0.07,3,0,0,1,0,0,1,0
Glendale,150,2,2,2.0,1,45,0,0,1,0,0,0
East New York,140,2,7,2.63,1,157,1,0,0,0,0,0
Nolita,399,5,29,3.16,1,76,0,1,0,0,0,0
Crown Heights,60,2,7,0.34,1,0,1,0,0,0,1,0
Williamsburg,163,7,2,0.79,1,263,1,0,0,0,0,0
Kew Gardens,60,2,137,6.27,1,32,0,0,1,0,1,0
Fieldston,60,1,25,0.67,1,311,0,0,0,0,0,0
West Village,250,2,2,0.09,1,0,0,1,0,0,0,0
Red Hook,280,1,0,1.3732214298586618,1,90,1,0,0,0,1,0
Greenpoint,130,2,21,0.94,1,0,1,0,0,0,0,0
Upper West Side,110,1,2,1.4,2,72,0,1,0,0,1,0
Upper West Side,1000,30,17,0.51,11,365,0,1,0,0,0,0
East Harlem,250,4,7,0.33,1,0,0,1,0,0,0,0
Clinton Hill,95,2,45,2.11,1,43,1,0,0,0,1,0
Sheepshead Bay,27,1,1,0.06,1,0,1,0,0,0,1,0
Allerton,60,2,1,0.16,1,363,0,0,0,0,1,0
Williamsburg,94,7,1,0.57,1,0,1,0,0,0,0,0
East New York,84,3,65,2.43,2,132,1,0,0,0,0,0
Williamsburg,96,3,0,1.3732214298586618,1,0,1,0,0,0,1,0
Carroll Gardens,50,2,2,0.07,1,0,1,0,0,0,1,0
Upper East Side,120,1,2,0.05,1,0,0,1,0,0,0,0
Midtown,275,7,6,0.08,1,191,0,1,0,0,0,0
Midtown,250,3,0,1.3732214298586618,1,364,0,1,0,0,0,0
Greenpoint,66,3,3,0.17,1,0,1,0,0,0,0,0
Morningside Heights,50,1,0,1.3732214298586618,1,0,0,1,0,0,1,0
Crown Heights,530,3,8,0.9,5,249,1,0,0,0,0,0
Midtown,159,60,0,1.3732214298586618,91,353,0,1,0,0,0,0
Brownsville,70,2,5,0.25,2,46,1,0,0,0,1,0
East Village,73,1,116,4.07,2,238,0,1,0,0,1,0
Prospect Heights,80,3,4,0.15,1,88,1,0,0,0,1,0
Rego Park,45,1,2,0.32,1,217,0,0,1,0,1,0
Upper West Side,120,2,4,0.24,1,0,0,1,0,0,1,0
Lower East Side,349,3,76,2.54,1,71,0,1,0,0,0,0
Upper West Side,250,3,1,1.0,1,14,0,1,0,0,0,0
Gramercy,250,2,38,2.65,1,322,0,1,0,0,0,0
Washington Heights,70,180,7,0.12,19,308,0,1,0,0,0,0
Williamsburg,70,2,4,0.5,1,0,1,0,0,0,0,0
Chelsea,181,1,0,1.3732214298586618,1,4,0,1,0,0,0,0
East Flatbush,32,30,0,1.3732214298586618,2,322,1,0,0,0,1,0
Sheepshead Bay,65,2,52,3.57,2,340,1,0,0,0,1,0
Bedford-Stuyvesant,168,2,1,0.03,1,0,1,0,0,0,0,0
Greenwich Village,425,1,0,1.3732214298586618,2,353,0,1,0,0,1,0
Hell's Kitchen,99,10,2,0.08,1,0,0,1,0,0,1,0
East Village,230,3,12,0.21,1,4,0,1,0,0,0,0
East Village,118,2,4,0.92,1,0,0,1,0,0,0,0
Sunset Park,29,1,12,1.37,5,66,1,0,0,0,1,0
Upper East Side,160,2,14,1.79,1,170,0,1,0,0,0,0
Bushwick,62,5,1,0.02,1,0,1,0,0,0,1,0
Williamsburg,160,3,1,0.03,1,0,1,0,0,0,0,0
Upper West Side,650,30,3,0.09,1,137,0,1,0,0,0,0
Upper East Side,75,1,6,0.66,1,0,0,1,0,0,1,0
Bedford-Stuyvesant,45,1,0,1.3732214298586618,1,0,1,0,0,0,1,0
Bushwick,135,3,42,3.04,1,92,1,0,0,0,0,0
Prospect-Lefferts Gardens,72,1,229,3.94,1,20,1,0,0,0,1,0
Williamsburg,96,3,38,2.31,1,25,1,0,0,0,1,0
Williamsburg,500,3,3,2.37,1,353,1,0,0,0,0,0
Crown Heights,100,7,0,1.3732214298586618,1,0,1,0,0,0,1,0
East Harlem,99,4,16,0.87,1,130,0,1,0,0,1,0
St. Albans,55,1,16,4.21,3,269,0,0,1,0,1,0
Civic Center,225,3,3,0.07,2,189,0,1,0,0,0,0
Greenpoint,185,1,3,0.06,1,0,1,0,0,0,0,0
Gowanus,91,6,69,0.76,1,265,1,0,0,0,0,0
Tribeca,305,30,0,1.3732214298586618,232,309,0,1,0,0,0,0
Long Island City,78,2,27,0.72,1,0,0,0,1,0,1,0
Ridgewood,52,7,1,0.19,1,0,0,0,1,0,0,0
Greenwich Village,180,2,11,0.22,1,0,0,1,0,0,0,0
Jackson Heights,100,2,6,0.17,1,0,0,0,1,0,0,0
Harlem,70,4,27,0.75,2,156,0,1,0,0,1,0
Flatbush,75,3,4,0.69,1,115,1,0,0,0,0,0
Greenpoint,250,2,0,1.3732214298586618,1,0,1,0,0,0,0,0
Ditmars Steinway,175,2,6,0.21,1,176,0,0,1,0,0,0
Hell's Kitchen,260,1,0,1.3732214298586618,2,168,0,1,0,0,0,1
Ozone Park,150,4,38,2.66,4,51,0,0,1,0,0,0
Brighton Beach,60,1,18,2.78,2,343,1,0,0,0,1,0
Washington Heights,105,2,109,4.86,1,261,0,1,0,0,0,0
Bedford-Stuyvesant,35,20,0,1.3732214298586618,1,0,1,0,0,0,1,0
East Harlem,450,3,0,1.3732214298586618,1,358,0,1,0,0,0,0
Bedford-Stuyvesant,130,3,8,0.27,1,0,1,0,0,0,0,0
Williamsburg,350,2,1,1.0,1,171,1,0,0,0,0,0
Upper East Side,450,1,0,1.3732214298586618,1,0,0,1,0,0,0,0
Crown Heights,130,2,10,1.95,2,96,1,0,0,0,0,0
NoHo,250,2,0,1.3732214298586618,1,0,0,1,0,0,1,0
Brooklyn Heights,1000,3,0,1.3732214298586618,1,363,1,0,0,0,0,0
Hell's Kitchen,175,3,59,1.63,1,14,0,1,0,0,0,0
Astoria,70,10,3,0.4,2,250,0,0,1,0,1,0
Greenpoint,114,10,1,0.2,1,0,1,0,0,0,0,0
Harlem,225,1,13,3.22,1,83,0,1,0,0,0,0
SoHo,300,7,51,1.11,2,156,0,1,0,0,1,0
Williamsburg,100,2,1,0.04,1,0,1,0,0,0,0,0
East Village,110,4,6,0.13,1,0,0,1,0,0,0,0
Little Italy,150,30,0,1.3732214298586618,91,312,0,1,0,0,0,0
Harlem,65,2,32,0.73,1,16,0,1,0,0,0,0
Upper West Side,100,1,32,5.16,1,0,0,1,0,0,0,0
Bushwick,40,3,6,0.32,2,0,1,0,0,0,1,0
St. Albans,35,1,30,3.25,4,143,0,0,1,0,1,0
Bedford-Stuyvesant,110,4,5,0.11,2,50,1,0,0,0,0,0
Upper East Side,899,30,6,0.23,1,89,0,1,0,0,0,0
Fort Greene,100,4,45,1.01,1,190,1,0,0,0,0,0
Financial District,229,29,0,1.3732214298586618,96,220,0,1,0,0,0,0
Hunts Point,59,14,13,0.4,4,340,0,0,0,0,1,0
Upper East Side,115,2,7,0.2,1,0,0,1,0,0,0,0
Bedford-Stuyvesant,80,2,8,2.12,1,0,1,0,0,0,0,0
Crown Heights,120,4,7,0.18,1,0,1,0,0,0,0,0
Theater District,177,29,0,1.3732214298586618,327,343,0,1,0,0,0,0
Crown Heights,99,2,190,3.67,3,287,1,0,0,0,0,0
Bedford-Stuyvesant,55,2,18,1.73,1,310,1,0,0,0,1,0
Harlem,86,1,1,0.05,1,0,0,1,0,0,1,0
Maspeth,40,1,5,2.68,1,89,0,0,1,0,0,1
Harlem,158,3,61,2.21,1,62,0,1,0,0,0,0
Bedford-Stuyvesant,65,3,11,2.73,4,164,1,0,0,0,1,0
Melrose,60,3,0,1.3732214298586618,1,90,0,0,0,0,1,0
Williamsburg,105,3,2,0.11,1,0,1,0,0,0,0,0
Bushwick,35,30,0,1.3732214298586618,9,45,1,0,0,0,1,0
Washington Heights,77,7,17,0.46,1,311,0,1,0,0,1,0
Upper West Side,1500,1,0,1.3732214298586618,1,0,0,1,0,0,0,0
Washington Heights,32,1,32,0.83,3,332,0,1,0,0,0,1
Upper East Side,119,3,32,5.22,1,239,0,1,0,0,1,0
Gramercy,65,1,4,2.35,1,104,0,1,0,0,1,0
East Village,180,2,2,0.03,1,0,0,1,0,0,0,0
Williamsburg,90,1,0,1.3732214298586618,1,179,1,0,0,0,1,0
Midtown,276,2,0,1.3732214298586618,11,206,0,1,0,0,0,0
Harlem,65,1,45,1.3,2,34,0,1,0,0,1,0
Murray Hill,250,2,26,0.58,1,0,0,1,0,0,0,0
East Harlem,135,3,225,3.69,2,13,0,1,0,0,0,0
Williamsburg,95,3,1,0.04,1,67,1,0,0,0,1,0
Park Slope,105,1,211,2.21,2,252,1,0,0,0,1,0
Midtown,550,1,0,1.3732214298586618,1,48,0,1,0,0,0,0
Tribeca,89,3,9,0.18,1,0,0,1,0,0,1,0
Bedford-Stuyvesant,55,3,1,0.05,1,0,1,0,0,0,1,0
Bedford-Stuyvesant,45,1,2,0.12,1,0,1,0,0,0,1,0
Gramercy,400,4,2,0.25,1,0,0,1,0,0,0,0
Bedford-Stuyvesant,60,30,1,0.27,8,217,1,0,0,0,1,0
East Harlem,200,3,24,1.94,1,337,0,1,0,0,0,0
East Harlem,200,3,162,2.84,1,208,0,1,0,0,0,0
Cypress Hills,50,3,12,0.33,3,90,1,0,0,0,1,0
Williamsburg,250,4,8,0.7,1,156,1,0,0,0,0,0
Bedford-Stuyvesant,33,30,2,2.0,1,87,1,0,0,0,1,0
SoHo,100,1,1,1.0,7,328,0,1,0,0,1,0
Bushwick,38,1,3,0.08,1,0,1,0,0,0,1,0
Upper East Side,149,10,2,0.23,1,40,0,1,0,0,1,0
Bedford-Stuyvesant,99,3,207,2.18,1,304,1,0,0,0,0,0
Midtown,115,30,5,0.14,10,289,0,1,0,0,0,0
Prospect-Lefferts Gardens,70,1,84,1.06,1,188,1,0,0,0,1,0
Bushwick,42,5,70,0.88,3,236,1,0,0,0,1,0
Flushing,50,1,20,1.64,4,2,0,0,1,0,1,0
Red Hook,85,2,68,2.22,1,69,1,0,0,0,1,0
Upper West Side,300,2,15,0.41,2,3,0,1,0,0,0,0
East Village,100,1,13,0.99,2,335,0,1,0,0,1,0
Chelsea,949,2,6,2.02,1,270,0,1,0,0,0,0
Boerum Hill,1000,4,0,1.3732214298586618,1,0,1,0,0,0,0,0
Downtown Brooklyn,150,7,0,1.3732214298586618,1,0,1,0,0,0,0,0
Lower East Side,120,7,3,1.76,1,284,0,1,0,0,0,0
Upper West Side,150,3,10,0.21,1,0,0,1,0,0,0,0
Hell's Kitchen,132,10,9,2.45,1,174,0,1,0,0,0,0
Crown Heights,145,2,66,4.85,1,158,1,0,0,0,0,0
Harlem,50,7,0,1.3732214298586618,1,0,0,1,0,0,1,0
Astoria,110,2,67,2.13,1,191,0,0,1,0,0,0
Astoria,100,1,1,1.0,3,89,0,0,1,0,1,0
Williamsburg,150,3,0,1.3732214298586618,1,0,1,0,0,0,1,0
Bushwick,40,30,1,0.13,3,54,1,0,0,0,1,0
Bedford-Stuyvesant,70,2,11,0.8,2,20,1,0,0,0,1,0
Crown Heights,283,4,92,2.34,2,234,1,0,0,0,0,0
West Village,90,1,4,1.26,1,330,0,1,0,0,1,0
Carroll Gardens,99,59,17,0.49,1,58,1,0,0,0,0,0
Hell's Kitchen,99,1,62,6.55,5,351,0,1,0,0,1,0
Civic Center,200,1,33,0.8,1,0,0,1,0,0,0,0
Bedford-Stuyvesant,115,3,2,0.17,1,0,1,0,0,0,1,0
Fresh Meadows,80,1,38,7.6,5,29,0,0,1,0,1,0
Gowanus,300,30,63,0.77,3,365,1,0,0,0,0,0
Midtown,300,1,0,1.3732214298586618,8,321,0,1,0,0,1,0
Greenpoint,150,1,0,1.3732214298586618,1,0,1,0,0,0,0,0
East Village,65,1,1,0.05,2,0,0,1,0,0,1,0
Inwood,60,1,2,1.18,1,326,0,1,0,0,1,0
Greenwich Village,1000,1,0,1.3732214298586618,1,0,0,1,0,0,0,0
Washington Heights,34,1,2,2.0,1,278,0,1,0,0,1,0
Harlem,165,3,80,0.75,3,231,0,1,0,0,0,0
Williamsburg,70,1,10,0.29,2,281,1,0,0,0,1,0
Edgemere,50,3,0,1.3732214298586618,1,363,0,0,1,0,1,0
Fort Greene,95,2,5,0.74,1,0,1,0,0,0,1,0
Kingsbridge,75,2,40,1.74,1,246,0,0,0,0,1,0
Washington Heights,59,2,5,0.43,1,0,0,1,0,0,1,0
West Village,225,1,29,1.72,1,14,0,1,0,0,0,0
Bedford-Stuyvesant,60,1,0,1.3732214298586618,2,20,1,0,0,0,1,0
Bedford-Stuyvesant,44,5,1,0.05,7,0,1,0,0,0,1,0
Williamsburg,150,1,16,1.17,1,334,1,0,0,0,0,0
Upper East Side,10,3,10,0.39,1,0,0,1,0,0,0,0
Bedford-Stuyvesant,220,2,26,0.61,1,8,1,0,0,0,0,0
Crown Heights,119,4,13,0.29,1,0,1,0,0,0,0,0
Washington Heights,65,5,23,2.47,1,255,0,1,0,0,1,0
Harlem,89,1,3,0.1,3,0,0,1,0,0,1,0
Bedford-Stuyvesant,40,2,0,1.3732214298586618,1,0,1,0,0,0,1,0
East Harlem,85,4,25,1.91,2,90,0,1,0,0,1,0
Ditmars Steinway,73,1,69,8.35,1,233,0,0,1,0,0,0
South Slope,210,3,5,0.21,2,3,1,0,0,0,0,0
Astoria,150,1,89,1.32,1,148,0,0,1,0,0,0
Flushing,60,1,6,0.87,2,365,0,0,1,0,1,0
Williamsburg,80,1,0,1.3732214298586618,1,0,1,0,0,0,1,0
Bedford-Stuyvesant,90,2,29,1.36,2,167,1,0,0,0,1,0
Upper East Side,118,30,3,0.1,29,282,0,1,0,0,0,0
Bushwick,90,2,12,2.67,1,3,1,0,0,0,1,0
Hell's Kitchen,275,4,0,1.3732214298586618,1,0,0,1,0,0,0,0
Williamsburg,225,2,124,5.71,3,106,1,0,0,0,0,0
Hell's Kitchen,500,3,55,1.23,1,46,0,1,0,0,0,0
Upper East Side,209,3,0,1.3732214298586618,1,30,0,1,0,0,0,1
Ozone Park,110,1,0,1.3732214298586618,1,363,0,0,1,0,1,0
Bedford-Stuyvesant,35,9,0,1.3732214298586618,1,179,1,0,0,0,1,0
Harlem,65,3,3,0.45,1,0,0,1,0,0,1,0
East Village,185,1,9,0.24,1,0,0,1,0,0,0,0
Harlem,145,3,39,0.47,1,44,0,1,0,0,1,0
Upper East Side,150,2,17,0.71,1,338,0,1,0,0,0,0
East Village,225,2,0,1.3732214298586618,1,310,0,1,0,0,0,0
Ditmars Steinway,70,1,64,3.18,2,113,0,0,1,0,0,0
Fort Greene,133,25,1,1.0,1,0,1,0,0,0,0,0
Williamsburg,75,1,23,0.33,1,0,1,0,0,0,1,0
Harlem,75,2,129,3.01,2,6,0,1,0,0,1,0
Upper East Side,200,2,1,0.04,1,0,0,1,0,0,0,0
Vinegar Hill,250,2,37,1.09,1,83,1,0,0,0,0,1
Crown Heights,125,2,10,0.22,2,0,1,0,0,0,0,0
Upper East Side,103,30,7,0.23,29,326,0,1,0,0,0,0
Bedford-Stuyvesant,40,3,0,1.3732214298586618,1,0,1,0,0,0,1,0
SoHo,105,1,18,5.57,3,91,0,1,0,0,1,0
Williamsburg,46,1,3,0.2,1,0,1,0,0,0,1,0
Midtown,310,1,2,0.7,8,0,0,1,0,0,0,0
Bedford-Stuyvesant,45,2,27,0.78,1,339,1,0,0,0,1,0
Long Island City,35,1,16,1.37,1,95,0,0,1,0,1,0
Harlem,100,1,7,0.18,1,0,0,1,0,0,0,0
Harlem,50,7,0,1.3732214298586618,2,53,0,1,0,0,1,0
East Elmhurst,80,1,86,6.35,1,147,0,0,1,0,1,0
Port Morris,125,14,0,1.3732214298586618,1,365,0,0,0,0,0,0
Bedford-Stuyvesant,150,5,4,0.47,1,160,1,0,0,0,0,0
Williamsburg,65,27,4,0.44,2,154,1,0,0,0,1,0
Upper West Side,85,2,25,1.48,1,0,0,1,0,0,1,0
East Village,189,3,265,2.99,2,355,0,1,0,0,0,0
Sunset Park,90,2,41,2.75,1,0,1,0,0,0,0,0
Boerum Hill,235,10,0,1.3732214298586618,1,64,1,0,0,0,0,0
Bensonhurst,62,23,0,1.3732214298586618,1,0,1,0,0,0,0,0
Longwood,100,3,0,1.3732214298586618,2,364,0,0,0,0,1,0
Prospect-Lefferts Gardens,75,2,0,1.3732214298586618,1,0,1,0,0,0,1,0
Bedford-Stuyvesant,100,3,0,1.3732214298586618,1,352,1,0,0,0,1,0
West Village,250,5,0,1.3732214298586618,1,365,0,1,0,0,0,0
West Village,220,2,0,1.3732214298586618,1,0,0,1,0,0,0,0
Harlem,500,1,0,1.3732214298586618,1,365,0,1,0,0,0,0
Upper East Side,110,7,15,3.46,1,4,0,1,0,0,0,1
Upper East Side,155,21,9,0.28,1,0,0,1,0,0,0,0
Upper West Side,240,7,0,1.3732214298586618,1,35,0,1,0,0,0,0
Astoria,98,3,32,4.02,2,131,0,0,1,0,0,0
Hell's Kitchen,300,2,12,1.14,2,2,0,1,0,0,0,0
East Harlem,85,1,6,0.67,1,0,0,1,0,0,1,0
Williamsburg,46,2,0,1.3732214298586618,2,0,1,0,0,0,1,0
Sunnyside,85,7,0,1.3732214298586618,1,179,0,0,1,0,1,0
Harlem,39,4,75,2.52,1,52,0,1,0,0,1,0
Gramercy,99,3,10,0.51,2,0,0,1,0,0,0,0
Harlem,49,1,11,5.5,2,180,0,1,0,0,1,0
Bedford-Stuyvesant,68,30,3,0.09,1,0,1,0,0,0,0,0
Hollis,55,2,16,1.71,2,178,0,0,1,0,1,0
Harlem,89,1,105,5.33,4,84,0,1,0,0,1,0
Jackson Heights,180,5,2,0.21,2,363,0,0,1,0,0,0
Williamsburg,65,15,1,0.94,1,0,1,0,0,0,1,0
Bedford-Stuyvesant,35,30,0,1.3732214298586618,3,54,1,0,0,0,1,0
Harlem,41,21,2,0.16,2,0,0,1,0,0,1,0
Harlem,35,30,7,0.28,8,78,0,1,0,0,1,0
Chinatown,199,2,18,1.28,1,1,0,1,0,0,0,0
Tompkinsville,55,2,48,4.97,2,302,0,0,0,1,1,0
East Village,120,7,6,0.08,1,0,0,1,0,0,0,0
Greenwich Village,200,3,0,1.3732214298586618,1,0,0,1,0,0,0,0
Williamsburg,48,3,17,2.8,1,0,1,0,0,0,1,0
Bushwick,125,2,3,1.11,5,342,1,0,0,0,0,0
West Brighton,40,30,6,0.12,2,354,0,0,0,1,1,0
Bedford-Stuyvesant,125,3,15,4.33,1,175,1,0,0,0,0,0
Bushwick,125,5,1,0.24,1,11,1,0,0,0,0,0
Bushwick,150,1,0,1.3732214298586618,1,0,1,0,0,0,1,0
Woodside,35,29,0,1.3732214298586618,37,30,0,0,1,0,1,0
Flatbush,100,4,5,0.14,1,7,1,0,0,0,1,0
Harlem,125,2,19,2.35,1,37,0,1,0,0,0,0
Bushwick,135,7,0,1.3732214298586618,3,204,1,0,0,0,0,0
Williamsburg,75,3,17,0.49,3,355,1,0,0,0,1,0
Crown Heights,80,2,10,1.57,4,2,1,0,0,0,1,0
Carroll Gardens,250,28,4,0.09,1,0,1,0,0,0,0,0
Upper West Side,400,2,2,0.31,1,89,0,1,0,0,0,0
East New York,80,2,3,1.14,1,363,1,0,0,0,1,0
Bedford-Stuyvesant,75,3,7,0.72,1,0,1,0,0,0,1,0
Hell's Kitchen,370,1,3,1.55,5,290,0,1,0,0,1,0
Upper West Side,120,12,0,1.3732214298586618,1,0,0,1,0,0,1,0
Hell's Kitchen,209,1,0,1.3732214298586618,10,333,0,1,0,0,1,0
Greenpoint,50,1,0,1.3732214298586618,1,0,1,0,0,0,1,0
Windsor Terrace,104,3,30,4.95,1,43,1,0,0,0,0,0
Hell's Kitchen,248,2,19,0.96,1,0,0,1,0,0,0,0
Upper West Side,180,5,1,0.15,1,0,0,1,0,0,0,0
Bushwick,70,2,93,3.68,1,142,1,0,0,0,0,0
Chelsea,179,2,251,3.15,1,157,0,1,0,0,1,0
Lower East Side,150,1,41,1.07,3,274,0,1,0,0,1,0
Ditmars Steinway,95,1,31,1.2,1,90,0,0,1,0,1,0
Kips Bay,134,3,139,2.66,2,3,0,1,0,0,1,0
Roosevelt Island,180,7,2,0.05,2,0,0,1,0,0,0,0
Harlem,80,2,40,1.51,1,0,0,1,0,0,0,0
Upper West Side,400,1,0,1.3732214298586618,1,0,0,1,0,0,0,0
Ridgewood,40,5,8,0.26,1,6,0,0,1,0,1,0
Rockaway Beach,89,1,0,1.3732214298586618,4,175,0,0,1,0,0,0
Allerton,104,2,33,0.85,5,86,0,0,0,0,0,0
Greenpoint,100,6,0,1.3732214298586618,1,0,1,0,0,0,0,0
Crown Heights,70,1,4,0.06,1,0,1,0,0,0,1,0
Sunnyside,73,1,1,0.09,1,0,0,0,1,0,1,0
Astoria,59,14,19,0.31,1,346,0,0,1,0,1,0
Chelsea,290,2,14,3.96,1,149,0,1,0,0,0,0
Rockaway Beach,150,2,29,1.19,2,178,0,0,1,0,1,0
Kips Bay,219,1,18,4.46,1,292,0,1,0,0,0,0
Harlem,65,3,3,0.14,1,0,0,1,0,0,1,0
East Flatbush,35,1,10,1.32,3,83,1,0,0,0,1,0
Canarsie,120,4,31,1.88,4,296,1,0,0,0,0,0
Sunnyside,65,2,15,1.02,1,27,0,0,1,0,0,0
Bedford-Stuyvesant,55,3,1,0.16,2,89,1,0,0,0,1,0
Theater District,100,1,0,1.3732214298586618,9,307,0,1,0,0,1,0
Williamsburg,120,4,9,0.42,2,291,1,0,0,0,0,0
Windsor Terrace,275,3,8,0.32,1,0,1,0,0,0,0,0
West Village,350,1,237,2.96,1,0,0,1,0,0,0,0
Crown Heights,150,3,25,0.91,1,64,1,0,0,0,0,0
Sea Gate,71,1,0,1.3732214298586618,3,0,1,0,0,0,1,0
Clinton Hill,200,2,267,3.37,1,266,1,0,0,0,0,0
West Village,325,3,8,0.83,1,83,0,1,0,0,0,0
Sunset Park,172,30,2,0.46,21,362,1,0,0,0,0,0
Upper West Side,40,1,0,1.3732214298586618,1,0,0,1,0,0,1,0
Crown Heights,50,30,0,1.3732214298586618,1,113,1,0,0,0,1,0
Williamsburg,200,10,0,1.3732214298586618,1,27,1,0,0,0,0,0
Financial District,252,2,12,3.03,327,302,0,1,0,0,0,0
Bushwick,60,3,5,0.43,1,0,1,0,0,0,1,0
Upper West Side,200,1,1,0.04,1,0,0,1,0,0,0,0
West Village,356,30,0,1.3732214298586618,232,162,0,1,0,0,0,0
Morris Heights,42,2,18,3.02,1,6,0,0,0,0,0,0
Prospect Heights,85,14,13,0.17,1,22,1,0,0,0,0,0
Woodhaven,85,2,74,2.08,1,52,0,0,1,0,0,0
